EN,RUS,TH,TH 2244/2828 (79.35%)
"It must say where the fox lives, we need to take it!","В ней должно быть сказано, где живёт лис. Нужно её забрать!",ต้องเป็นโน้ตบอกว่าจิ้งจอกนั่นอยู่ไหนแน่นอน เราต้องเอามาให้ได้!,
"Look, there's a note!","Смотри, здесь записка!",ดูสิ มีโน้ตด้วย!,
I can't reach it from here.,Я не могу дотянуться отсюда.,หนูหยิบไม่ถึง,
I'll find that key... You'll see.,Я найду ключ... Вот увидишь.,หนูต้องหากุญแจมาให้ได้... คอยดูสิ,
We need to find a key to open the cage.,"Нужно найти ключ, чтобы открыть клетку.",เราต้องหากุญแจมาเปิดกรงนี่ก่อน,
"It must say where the fox lives, we need to take it!","В ней должно быть сказано, где живёт лис. Нужно её забрать!",ต้องเป็นโน้ตบอกว่าจิ้งจอกนั่นอยู่ไหนแน่นอน เราต้องเอามาให้ได้!,
"Look, we found the wolf!","Смотри, мы нашли волка!",ดูสิ เจอหมาป่าแล้ว!,
I can't reach it from here.,Не могу отсюда дотянуться.,หนูเอื้อมไม่ถึง,
See if you can get inside.,Попробуй пролезть внутрь.,,
Yes! And there's a note!,Да! И здесь записка!,ค่ะ!,
Ah.,Оу.,แหงะ,
"Uh-huh, time to meet the wolf.","Ага, пора встретиться с волком",,
"Ah damn, what scared him away?","Блин, что его спугнуло?",,
"Oh, that was unexpected...","Оу, это было неожиданно...",,
"But hey, the note is right there!","Но стой, записка прямо тут!",,
"Let me pet you, I'm a nice person.","Дай мне тебя погладить, я хороший человек.",,
"Come, wolfie! Come!","Иди, волчонок! Иди!",,
Wolfie?,Волчонок?,,
Why can't a little lady just pet the wolf?,Почему маленькая леди не может просто погладить волчонка?,,
Not to me.,Не для меня.,,
Animals usually run away from me.,Обычно животные бегут от меня.,,
That's too bad...,Это печально...,,
I'm gonna take it.,Я возьму её.,,
Here we are! And nobody saw us coming...,Вот мы и здесь! И нас никто не увидел...,มาถึงแล้ว! แถมไม่มีใครเห็นพวกเราด้วย...,
"You really proved your ""ninja"" skills back there, Misfortune...","Ты действительно доказала свои ""ниндзя"" навыки, Неудача...","เธอได้พิสูจน์ทักษะ ""นินจา"" ให้เห็นแล้วตะกี้นี้ เก่งมากยัยตัวซวย...",
But I'm pretty sure I was the best at hiding back there.,"Но я уверен, что прятался лучше всех.",,
"No, that doesn't count. You're not a little lady like me.","Нет, это не считается. Ты не маленькая леди, как я.",,
"Oh, you'll see... I'm much, much more than that...","Оу, ты увидишь... Я нечто гораздо большее...",,
"However, now you should go and meet the wolf!","Тем не менее, теперь ты должна пойти, и встретится с волком!",,
"Got it. Meet the wolf, maybe pet it, and get Benjamin's address!","Ясно. Встретиться с волком, возможно, погладить, и получить адрес Бенджамина!",,
You're just a voice.\x0D,Ты всего лишь голос.\x0A,,
Like a ninja...,Как ниндзя...,,
Do you think there could be a key in there?,"Как думаешь, там может быть ключ?",,
"I don't know. Let's go and see, quietly...\x0D","Не знаю. Пойдём и посмотрим, только тихо...\x0A",,
Like a little ninja... Got it...,Как маленький ниндзя... Поняла...,,
"Like, Little Lady Misfortune, the Ninja Lady.","Как, Маленькая Леди Неудача, Леди-Ниндзя.",,
Good! Now we can get that stolen happiness back!,Отлично! Теперь мы сможем вернуть счастье!,,
